wahlkreisnummer,wahlkreisname,status,reported_precincts,total_precincts,municipalities_total,municipalities_complete,municipalities_pending,municipalities_no_data
1,Mitte 1,prestart,,,1,0,0,1
2,Mitte 2,prestart,,,1,0,0,1
3,Mitte 3,prestart,,,1,0,0,1
4,Mitte 4,prestart,,,1,0,0,1
5,Mitte 5,prestart,,,1,0,0,1
6,Mitte 6,prestart,,,1,0,0,1
7,Mitte 7,prestart,,,1,0,0,1
8,Friedrichshain-Kreuzberg 1,prestart,,,1,0,0,1
9,Friedrichshain-Kreuzberg 2,prestart,,,1,0,0,1
10,Friedrichshain-Kreuzberg 3,prestart,,,1,0,0,1
11,Friedrichshain-Kreuzberg 4,prestart,,,1,0,0,1
12,Friedrichshain-Kreuzberg 5,prestart,,,1,0,0,1
13,Pankow 1,prestart,,,1,0,0,1
14,Pankow 2,prestart,,,1,0,0,1
15,Pankow 3,prestart,,,1,0,0,1
16,Pankow 4,prestart,,,1,0,0,1
17,Pankow 5,prestart,,,1,0,0,1
18,Pankow 6,prestart,,,1,0,0,1
19,Pankow 7,prestart,,,1,0,0,1
20,Pankow 8,prestart,,,1,0,0,1
21,Pankow 9,prestart,,,1,0,0,1
22,Charlottenburg-Wilmersdorf 1,prestart,,,1,0,0,1
23,Charlottenburg-Wilmersdorf 2,prestart,,,1,0,0,1
24,Charlottenburg-Wilmersdorf 3,prestart,,,1,0,0,1
25,Charlottenburg-Wilmersdorf 4,prestart,,,1,0,0,1
26,Charlottenburg-Wilmersdorf 5,prestart,,,1,0,0,1
27,Charlottenburg-Wilmersdorf 6,prestart,,,1,0,0,1
28,Charlottenburg-Wilmersdorf 7,prestart,,,1,0,0,1
29,Spandau 1,prestart,,,1,0,0,1
30,Spandau 2,prestart,,,1,0,0,1
31,Spandau 3,prestart,,,1,0,0,1
32,Spandau 4,prestart,,,1,0,0,1
33,Spandau 5,prestart,,,1,0,0,1
34,Steglitz-Zehlendorf 1,prestart,,,1,0,0,1
35,Steglitz-Zehlendorf 2,prestart,,,1,0,0,1
36,Steglitz-Zehlendorf 3,prestart,,,1,0,0,1
37,Steglitz-Zehlendorf 4,prestart,,,1,0,0,1
38,Steglitz-Zehlendorf 5,prestart,,,1,0,0,1
39,Steglitz-Zehlendorf 6,prestart,,,1,0,0,1
40,Steglitz-Zehlendorf 7,prestart,,,1,0,0,1
41,Tempelhof-Schöneberg 1,prestart,,,1,0,0,1
42,Tempelhof-Schöneberg 2,prestart,,,1,0,0,1
43,Tempelhof-Schöneberg 3,prestart,,,1,0,0,1
44,Tempelhof-Schöneberg 4,prestart,,,1,0,0,1
45,Tempelhof-Schöneberg 5,prestart,,,1,0,0,1
46,Tempelhof-Schöneberg 6,prestart,,,1,0,0,1
47,Tempelhof-Schöneberg 7,prestart,,,1,0,0,1
48,Neukölln 1,prestart,,,1,0,0,1
49,Neukölln 2,prestart,,,1,0,0,1
50,Neukölln 3,prestart,,,1,0,0,1
51,Neukölln 4,prestart,,,1,0,0,1
52,Neukölln 5,prestart,,,1,0,0,1
53,Neukölln 6,prestart,,,1,0,0,1
54,Treptow-Köpenick 1,prestart,,,1,0,0,1
55,Treptow-Köpenick 2,prestart,,,1,0,0,1
56,Treptow-Köpenick 3,prestart,,,1,0,0,1
57,Treptow-Köpenick 4,prestart,,,1,0,0,1
58,Treptow-Köpenick 5,prestart,,,1,0,0,1
59,Treptow-Köpenick 6,prestart,,,1,0,0,1
60,Treptow-Köpenick 7,prestart,,,1,0,0,1
61,Marzahn-Hellersdorf 1,prestart,,,1,0,0,1
62,Marzahn-Hellersdorf 2,prestart,,,1,0,0,1
63,Marzahn-Hellersdorf 3,prestart,,,1,0,0,1
64,Marzahn-Hellersdorf 4,prestart,,,1,0,0,1
65,Marzahn-Hellersdorf 5,prestart,,,1,0,0,1
66,Marzahn-Hellersdorf 6,prestart,,,1,0,0,1
67,Lichtenberg 1,prestart,,,1,0,0,1
68,Lichtenberg 2,prestart,,,1,0,0,1
69,Lichtenberg 3,prestart,,,1,0,0,1
70,Lichtenberg 4,prestart,,,1,0,0,1
71,Lichtenberg 5,prestart,,,1,0,0,1
72,Lichtenberg 6,prestart,,,1,0,0,1
73,Reinickendorf 1,prestart,,,1,0,0,1
74,Reinickendorf 2,prestart,,,1,0,0,1
75,Reinickendorf 3,prestart,,,1,0,0,1
76,Reinickendorf 4,prestart,,,1,0,0,1
77,Reinickendorf 5,prestart,,,1,0,0,1
78,Reinickendorf 6,prestart,,,1,0,0,1
